BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2023-04-06,447.0,458.0,445.0,30691,1.38017899E7,285
2023-04-05,450.0,455.0,448.5,13711,6188705.7,176
2023-04-04,451.0,461.3,448.6,17494,7924834.0,218
2023-04-03,454.0,463.0,451.2,22321,1.01811085E7,251
2023-04-02,460.0,475.0,456.0,42500,1.96872347E7,315
2023-03-30,466.0,474.8,465.0,14786,6928747.1,165
2023-03-29,470.0,472.0,466.0,7247,3400100.1,135
2023-03-28,472.0,478.0,465.2,30694,1.44921567E7,349
2023-03-27,467.8,469.0,457.0,26033,1.20319348E7,287
2023-03-26,462.7,469.0,459.1,34454,1.58891428E7,307
2023-03-23,465.6,474.0,465.0,18844,8812066.0,249
2023-03-22,473.2,489.6,473.2,47982,2.30751479E7,410
2023-03-20,480.0,481.0,460.1,46399,2.18943219E7,419
2023-03-19,460.0,467.0,458.0,21991,1.01529403E7,243
2023-03-16,459.2,468.0,457.0,27805,1.27867354E7,214
2023-03-15,462.0,468.9,459.0,22786,1.05335E7,222
2023-03-14,465.0,470.0,456.0,21609,1.00825456E7,235
2023-03-13,463.6,471.5,461.0,25217,1.17505959E7,249
2023-03-12,470.0,484.5,463.6,66572,3.14401013E7,445
2023-03-09,475.0,479.0,468.0,51117,2.42142167E7,397
2023-03-07,465.1,472.0,451.0,51740,2.4022588E7,444
2023-03-05,451.1,470.0,451.1,33239,1.51511513E7,321
2023-03-02,465.0,484.5,465.0,47653,2.23289313E7,431
2023-03-01,475.0,500.0,475.0,179230,8.72370858E7,1118
2023-02-28,483.0,492.0,475.0,70508,3.41974657E7,522
2023-02-27,475.0,485.0,461.6,65210,3.07053194E7,418
2023-02-26,477.0,484.0,435.0,85897,3.94236415E7,569
2023-02-23,469.0,476.0,466.1,44887,2.10788681E7,386
2023-02-22,480.9,493.0,461.0,58693,2.80387563E7,439
2023-02-20,461.0,471.7,460.1,53751,2.49309766E7,374
2023-02-16,469.0,483.0,468.1,48507,2.29085222E7,409
2023-02-15,476.0,495.0,475.0,62052,2.98540373E7,495
2023-02-14,486.2,500.0,485.0,52562,2.57284571E7,404
2023-02-12,497.0,515.5,495.0,154636,7.76106299E7,955
2023-02-09,526.0,527.0,515.0,49745,2.59108829E7,341
2023-02-08,520.0,540.6,519.0,92244,4.87388052E7,564
2023-02-07,533.0,533.0,511.0,102223,5.38303116E7,708
2023-02-06,510.0,514.0,490.3,55472,2.81199103E7,378
2023-02-05,498.1,508.0,493.0,84638,4.2311257E7,493
2023-02-02,493.0,516.0,492.2,60346,3.02135562E7,431
2023-02-01,511.9,517.9,503.1,39750,2.03182847E7,332
2023-01-31,512.0,529.0,510.0,87208,4.50620097E7,637
2023-01-30,522.0,547.0,521.0,175726,9.35928881E7,670
2023-01-29,537.0,549.9,535.1,97998,5.31590322E7,524
2023-01-26,548.7,564.0,547.0,63121,3.48843036E7,385
2023-01-25,557.0,577.0,555.0,123806,6.97342692E7,555
2023-01-24,566.1,566.1,538.0,166931,9.16361231E7,846
2023-01-23,551.0,569.0,550.0,137872,7.72289749E7,722
2023-01-19,564.5,572.0,560.0,100060,5.66403136E7,594
2023-01-18,567.0,590.0,557.1,169705,9.73035136E7,878
2023-01-17,568.0,569.0,532.0,204818,1.138381595E8,1202
2023-01-12,543.0,576.0,536.0,233977,1.284999231E8,1324
2023-01-10,544.0,581.4,535.0,277512,1.542804023E8,1529
2023-01-09,538.1,544.0,508.0,171000,9.0546577E7,1031
2023-01-08,508.0,520.0,480.0,267484,1.356366359E8,980
2023-01-05,485.0,498.0,481.0,157476,7.66747378E7,703
2023-01-04,474.0,481.0,465.0,70745,3.35447258E7,408
2023-01-03,469.0,480.0,466.5,57746,2.73022639E7,392
2023-01-02,471.0,478.0,455.0,77641,3.65856386E7,517
2023-01-01,473.0,504.3,461.0,129093,6.17057012E7,882
